jordtype,nmin,aar_mod,potnmin,exptgens,rokap,komm,nedbarea,jordn,mod_nmin,forfrugt,ngodnt,ngodnn,nprot,ntilg,pesticid,nopt,ngodn,ngtilg,protein,saatid,dgv1059,dg25,frspdag,dgv5980,aks_m2,keraks,bgbyg,sort,srtprot,sorttkv,srtsize,nplac,aks_vgt,spndx,tkv,saamng,saakern,tkvs,antplnt,partigerm,markgrm,jordinf,udb,ksort,slt22,s2225,s2528
JB_2,x30_45,x_25,x45_60,x40_50,x87_5_112_5,state2,x1___375_,x105_120,x60_75,Beets,x45_60,x_45,x100_120,x135_150,x_2,x135_150,x_45,x_45,x11_5_12_0,x11_4_20_4,x41_50,x_22_5,x19_21,x15_25,x550_650,x15_17,x3_5_4_0,Vintage,x4,x4,x3,Top_dressed,x750_850,x9_10,x45_47_5,x150_170,x_450,x30_35,x375_425,x90_93,x90_93,x_99_1_00,x40_50,x_98,x2_3,x0_1,x0_5
JB_8,x15_30,x_20,x_105,x30_40,x162_5_187_5,state0,x2__375_500_,x_120,x30_45,Beets,x60_75,x_45,x120_140,x165_180,x_2,x120_135,x_45,x_45,x11_5_12_0,x_26_3,x_70,x47_5_57_5,x23_25,x0_5,x750_950,x21_23,x4_0_4_5,Amber,x4,x7,x1,worked_in_solil,x700_750,x9_10,x40_42_5,x190_210,x375_424,x50_55,x325_375,x95_97,x90_93,x93__95,x60_65,x_85,x3_5,x5_10,x20_25
JB_9,x45_60,x15,x0_15,x40_50,x187_5_212_5,state3,x1___375_,x30_45,x30_45,Beets,x75_90,x75_90,x40_60,x120_135,x_2,x120_135,x75_90,x75_90,x11_0_11_5,x21_4_26_4,x51_60,x32_5_37_5,x_15,x10_15,x450_550,x19_21,x4_5_5_0,G_363ta,x4,x4,x_3,Placed,x850_950,x9_10,x40_42_5,x50_70,x_175,x44_46,x_175,x93_95,x94_95,x_99_1_00,x40_50,x90_95,x3_5,x0_1,x0_5
JB_5,x30_45,x10,x15_30,x40_50,x187_5_212_5,state1,x3___500_,x45_60,x15_30,Cereals,x105_120,x60_75,x60_80,x90_105,x_2,x120_135,x60_75,x45_60,x11_5_12_0,x_26_4,x51_60,x_22_5,x17_19,x_35,x650_750,x21_23,x_3_0,Collie,x2,x3,x0,worked_in_solil,x600_650,x9_10,x40_42_5,x50_70,x_175,x40_42,x_175,x90_93,x90_93,x_99_1_00,x40_50,x_85,x3_5,x5_10,x10_15
JB_4,x30_45,x_5,x45_60,x40_50,x137_5_162_5,state3,x2__375_500_,x90_105,x30_45,Beets,x75_90,x45_60,x100_120,x150_165,x_2,x135_150,x45_60,x45_60,x_12_0,x21_4_26_4,x25_40,x_22_5,x_15,x0_5,x450_550,x15_17,x4_0_4_5,Amber,x2,x7,x0,worked_in_solil,x850_950,x9_10,x45_47_5,x150_170,x_450,x35_40,x325_375,x_80,x75_80,x_99_1_00,x40_50,x95_98,x1_2,x0_1,x0_5
JB_3,x15_30,x_20,x30_45,x30_40,x87_5_112_5,state2,x1___375_,x75_90,x30_45,Cer_rotation,x75_90,x_45,x80_100,x105_120,x_2,x_120,x_45,x_45,x9_5_10_0,x_26_3,x51_60,x_22_5,x21_23,x_35,x550_650,x21_23,x_3_0,Segu,x2,x5,x3,Placed,x600_650,x9_10,x35_40,x70_90,x_175,x46_48,x_175,x98_99,x94_95,x_95__97,x30_40,x_85,x3_5,x5_10,x15_20
JB_6,x15_30,x25,x_105,x50_60,x162_5_187_5,state3,x3___500_,x105_120,x0_15,Beets,x120_135,x_45,x100_120,x135_150,x_2,x135_150,x_45,x_45,x_12_0,x11_4_20_4,x61_70,x_22_5,x17_19,x5_10,x750_950,x17_19,x4_0_4_5,Trebon,x4,x5,x3,worked_in_solil,x650_700,x9_10,x42_5_45,x210_230,x_450,x44_46,x_425,x98_99,x95_97,x_97__98,x55_60,x_85,x3_5,x1_5,x10_15
JB_5,x45_60,x_5,x45_60,x40_50,x112_5_137_5,state0,x3___500_,x105_120,x45_60,Other,x60_75,x_45,x100_120,x135_150,x_2,x_120,x_45,x_45,x_12_0,x21_4_26_4,x51_60,x27_5_32_5,x_15,x5_10,x550_650,x19_21,x4_0_4_5,Reggae,x3,x5,x2,Top_dressed,x750_850,x9_10,x42_5_45,x150_170,x_450,x35_40,x_425,x95_97,x95_97,x_99_1_00,x40_50,x85_90,x3_5,x1_5,x10_15
JB_9,x30_45,x0,x75_90,x40_50,x162_5_187_5,state3,x1___375_,x105_120,x30_45,Other,x75_90,x_45,x100_120,x135_150,x_2,x120_135,x_45,x_45,x11_5_12_0,x26_3_10_4,x61_70,x_22_5,x19_21,x_35,x750_950,x19_21,x3_0_3_5,Texane,x3,x5,x1,Placed,x850_950,x9_10,x42_5_45,x170_190,x275_325,x55_60,x275_325,x95_97,x95_97,x_99_1_00,x70_80,x90_95,x3_5,x0_1,x0_5
JB_8,x45_60,x5,x_105,x30_40,x187_5_212_5,state0,x2__375_500_,x_120,x45_60,Other,x60_75,x_45,x120_140,x150_165,x_2,x120_135,x_45,x_45,x9_0_9_5,x_26_3,x61_70,x_22_5,x17_19,x_35,x950_1150,x17_19,x_3_0,Collie,x1,x3,x0,worked_in_solil,x850_950,x9_10,x35_40,x210_230,x_450,x46_48,x375_425,x93_95,x94_95,x_99_1_00,x_80,x95_98,x3_5,x0_1,x0_5
