praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
75.7,16.8,45.7,50.9,25.9,61.0,106.0,906.0,4.41,17.8,31.3
42.2,20.2,6.04,5.78,1.45,1.0,3.46,12.0,4.83,17.8,25.0
13.3,17.9,7.23,6.1,5.88,33.1,55.7,626.0,4.57,10.2,40.0
75.0,46.6,6.44,10.5,8.51,61.0,93.1,982.0,4.78,13.3,39.2
30.2,18.8,7.04,143.0,32.2,71.7,118.0,1275.0,8.43,24.1,62.6
63.2,50.9,14.5,11.9,3.68,38.9,71.0,1640.0,10.6,24.4,67.3
213.0,145.0,5.42,8.2,19.3,79.1,139.0,1811.0,6.1,28.6,48.3
45.3,36.8,3.75,730.0,106.0,24.1,43.3,400.0,5.28,14.9,85.8
55.7,39.2,2.86,16.1,13.1,77.7,167.0,2666.0,2.39,14.2,44.5
45.7,8.35,9.82,316.0,118.0,42.9,64.4,673.0,10.2,9.65,1.75
106.0,81.3,1.0,221.0,20.9,10.7,8.58,334.0,5.09,29.4,33.1
77.0,73.0,9.56,276.0,78.4,20.7,39.6,615.0,8.9,30.0,40.7
85.8,88.2,4.87,94.7,7.17,47.8,66.1,269.0,9.14,19.8,46.6
54.2,41.4,14.2,392.0,72.3,37.9,59.9,372.0,5.05,14.3,56.2
105.0,85.1,20.0,32.2,17.8,67.9,106.0,297.0,2.59,8.06,44.5
227.0,158.0,16.3,302.0,78.4,11.0,27.9,533.0,8.98,24.6,82.0
12.4,11.0,31.6,316.0,102.0,3.62,20.4,165.0,8.9,24.6,21.7
30.0,23.9,8.13,10.1,5.52,32.2,58.8,717.0,6.67,23.7,6.32
213.0,257.0,5.33,143.0,8.74,45.3,106.0,1625.0,6.98,10.2,38.2
34.9,22.1,1.46,505.0,92.2,34.6,73.7,2035.0,4.66,18.6,50.0
135.0,98.2,10.9,13.9,11.7,67.9,170.0,2207.0,4.96,35.2,57.3
102.0,82.0,2.33,389.0,85.8,42.9,75.0,1027.0,3.31,16.8,39.6
60.4,47.4,3.13,302.0,59.9,22.9,35.2,322.0,3.96,8.28,19.6
34.0,22.5,10.6,11.1,13.1,9.82,12.4,200.0,4.53,17.0,33.4
39.6,22.1,10.7,10.0,3.22,41.8,64.9,392.0,6.61,49.6,44.1
69.8,66.7,59.4,70.4,55.7,15.1,46.6,1165.0,14.3,51.4,17.9
109.0,14.2,8.74,308.0,55.7,58.3,84.3,661.0,1.0,10.7,3.55
33.7,28.1,2.69,302.0,87.4,52.3,100.0,1827.0,2.59,16.3,38.5
41.0,28.1,6.61,12.1,1.0,79.9,101.0,365.0,2.89,7.23,27.1
97.3,89.8,7.57,302.0,53.8,41.4,68.5,1263.0,4.57,17.3,63.2
32.2,23.9,1.0,429.0,117.0,20.4,34.3,322.0,3.79,17.8,32.2
118.0,71.7,4.07,286.0,47.8,35.9,57.3,264.0,8.28,14.6,33.1
62.6,51.9,37.2,21.1,16.3,81.3,129.0,874.0,7.3,18.1,67.3
138.0,86.6,5.57,9.65,9.65,95.6,267.0,2571.0,7.3,22.1,34.0
24.4,14.9,7.64,165.0,41.4,33.7,58.3,1346.0,6.32,20.0,23.9
135.0,186.0,6.32,237.0,52.3,16.0,34.6,313.0,7.3,22.3,43.7
61.5,24.8,28.1,429.0,114.0,26.9,44.5,281.0,2.94,14.9,16.8
33.1,17.8,12.6,13.1,17.6,85.1,195.0,3995.0,6.32,20.7,45.7
25.0,14.2,3.31,2.92,12.5,66.7,165.0,3460.0,10.3,18.1,47.4
40.0,43.7,1.0,302.0,53.8,40.7,62.1,445.0,9.31,33.7,99.1
42.2,23.7,5.99,200.0,46.6,27.1,48.7,253.0,5.94,7.91,25.5
114.0,120.0,5.09,346.0,61.0,13.6,42.9,638.0,8.51,27.4,46.1
75.0,61.5,4.53,302.0,41.8,45.3,56.2,368.0,7.91,31.9,49.6
74.3,67.3,9.39,24.4,1.54,61.5,75.0,313.0,7.57,17.0,42.6
32.5,33.7,5.14,4.96,1.95,25.7,50.5,491.0,6.32,27.1,63.2
151.0,99.1,2.25,567.0,86.6,21.3,48.3,519.0,4.33,20.0,36.8
44.1,34.9,13.6,271.0,79.1,32.2,63.8,965.0,10.9,29.7,55.7
30.5,24.6,10.4,13.3,5.33,20.7,43.3,359.0,4.49,20.4,50.9
32.5,30.5,6.61,15.5,4.87,26.9,42.6,337.0,4.22,21.9,50.5
40.0,19.3,11.8,362.0,38.5,24.8,47.4,372.0,1.91,10.2,28.4
68.5,81.3,10.6,7.37,7.77,38.5,49.6,368.0,1.0,35.2,2.46
83.5,77.0,4.7,146.0,23.9,16.1,88.2,1526.0,7.91,26.2,78.4
181.0,186.0,1.0,289.0,13.3,28.4,33.1,305.0,3.46,13.5,37.2
29.4,22.9,50.9,542.0,76.4,7.1,10.3,372.0,9.31,26.9,46.6
58.3,43.7,8.35,389.0,72.3,54.7,136.0,1877.0,7.91,30.2,29.4
84.3,61.5,34.9,16.1,61.0,24.8,49.6,355.0,2.62,17.9,47.0
98.2,139.0,8.2,28.4,17.3,17.2,32.2,372.0,4.03,22.5,25.0
69.2,48.3,108.0,143.0,91.4,94.7,189.0,2329.0,7.37,34.3,44.9
66.7,51.4,18.8,10.7,5.09,43.3,64.9,770.0,11.8,34.6,34.6
26.4,20.2,6.67,17.9,3.49,36.2,54.7,284.0,7.84,22.1,17.2
36.8,30.0,2.5,6.92,12.0,10.8,26.7,496.0,7.7,19.8,50.5
61.5,17.8,9.65,19.6,14.3,27.1,50.5,284.0,5.47,12.0,37.5
189.0,124.0,4.7,107.0,28.4,35.9,54.7,385.0,4.74,13.6,35.5
36.8,20.9,4.57,17.0,8.51,7.64,16.7,313.0,9.73,16.1,58.8
38.2,25.3,13.5,94.7,12.1,13.0,32.5,426.0,1.76,16.7,34.6
237.0,191.0,10.4,12.7,19.6,17.3,33.1,466.0,8.13,30.8,54.2
207.0,262.0,8.51,10.5,1.0,6.61,28.6,743.0,4.74,17.9,53.3
27.4,25.0,20.4,123.0,25.3,76.4,106.0,389.0,4.41,13.0,24.6
85.8,21.1,8.13,31.1,17.9,28.6,46.6,396.0,44.5,76.4,16.8
60.4,51.4,1.86,118.0,16.3,36.5,40.0,379.0,5.99,18.6,24.6
39.2,31.1,14.1,22.7,15.8,35.5,44.9,385.0,4.57,17.3,33.1
27.1,24.6,5.99,95.6,28.9,44.1,64.9,737.0,2.94,13.5,32.8
97.3,72.3,7.37,10.1,9.56,64.9,127.0,1165.0,4.53,11.8,44.9
119.0,85.8,4.45,11.3,15.5,9.14,36.5,392.0,7.3,11.1,66.7
235.0,176.0,10.6,30.8,25.5,43.7,75.7,1165.0,3.28,11.4,30.0
31.6,20.5,9.82,8.98,6.98,25.5,137.0,547.0,6.67,11.7,37.9
102.0,62.1,16.1,294.0,82.0,126.0,219.0,3960.0,4.22,13.9,37.9
99.1,67.3,1.58,392.0,40.7,11.3,47.8,784.0,6.85,27.4,59.9
44.9,24.1,10.6,68.5,51.4,26.9,35.5,319.0,9.22,25.3,46.6
213.0,150.0,16.1,168.0,26.9,18.6,32.2,316.0,8.66,16.8,31.6
160.0,126.0,7.7,99.1,22.9,52.3,85.8,1512.0,8.58,36.8,45.7
82.8,48.3,20.4,170.0,30.0,151.0,300.0,4532.0,10.1,35.2,104.0
36.5,16.7,1.0,193.0,38.5,47.4,108.0,1540.0,7.5,14.6,45.3
40.0,29.2,4.37,77.7,14.6,32.8,52.3,407.0,2.48,9.65,41.0
127.0,106.0,11.2,239.0,37.9,12.2,28.6,519.0,5.67,9.39,35.9
21.3,24.4,2.92,292.0,36.8,23.3,50.0,723.0,33.4,40.3,3.82
28.9,23.5,11.0,12.4,25.9,54.2,160.0,4142.0,2.13,23.7,6.49
33.1,22.7,8.98,16.0,21.3,99.1,225.0,2525.0,10.4,32.5,94.7
62.6,48.7,3.34,126.0,43.7,44.9,67.9,325.0,5.52,16.7,53.3
